"name","parent","size"
"2.1.10.5.NA.NA.NA.sub.4.1","2.1.10.5.NA.NA.NA.4",
"2.1.10.5.NA.NA.NA.sub.4.2","2.1.10.5.NA.NA.NA.4",
"2.1.10.6.NA.NA.NA.4","2.1.10.NA.NA.NA.NA.3",
"2.1.10.6.1.NA.NA.5","2.1.10.6.NA.NA.NA.4",
"2.1.10.6.1.NA.NA.sub.5.1","2.1.10.6.1.NA.NA.5",
"2.1.10.6.NA.NA.NA.sub.4.1","2.1.10.6.NA.NA.NA.4",
"2.1.10.6.NA.NA.NA.sub.4.2","2.1.10.6.NA.NA.NA.4",
"2.1.10.NA.NA.NA.NA.sub.3.1","2.1.10.NA.NA.NA.NA.3",
"2.1.10.NA.NA.NA.NA.sub.3.2","2.1.10.NA.NA.NA.NA.3",
"2.1.11.NA.NA.NA.NA.3","2.1.NA.NA.NA.NA.NA.2",
"2.1.11.1.NA.NA.NA.4","2.1.11.NA.NA.NA.NA.3",
"2.1.11.1.1.NA.NA.5","2.1.11.1.NA.NA.NA.4",
"2.1.11.1.1.NA.NA.sub.5.1","2.1.11.1.1.NA.NA.5",
"2.1.11.1.2.NA.NA.5","2.1.11.1.NA.NA.NA.4",
"2.1.11.1.2.NA.NA.sub.5.1","2.1.11.1.2.NA.NA.5",
"2.1.11.1.2.NA.NA.sub.5.2","2.1.11.1.2.NA.NA.5",
"2.1.11.1.3.NA.NA.5","2.1.11.1.NA.NA.NA.4",
"2.1.11.1.3.NA.NA.sub.5.1","2.1.11.1.3.NA.NA.5",
"2.1.11.1.3.NA.NA.sub.5.2","2.1.11.1.3.NA.NA.5",
"2.1.11.1.NA.NA.NA.sub.4.1","2.1.11.1.NA.NA.NA.4",
"2.1.11.1.NA.NA.NA.sub.4.2","2.1.11.1.NA.NA.NA.4",
"2.1.11.2.NA.NA.NA.4","2.1.11.NA.NA.NA.NA.3",
"2.1.11.2.1.NA.NA.5","2.1.11.2.NA.NA.NA.4",
"2.1.11.2.1.NA.NA.sub.5.1","2.1.11.2.1.NA.NA.5",
"2.1.11.2.1.NA.NA.sub.5.2","2.1.11.2.1.NA.NA.5",
"2.1.11.2.NA.NA.NA.sub.4.1","2.1.11.2.NA.NA.NA.4",
"2.1.11.2.NA.NA.NA.sub.4.2","2.1.11.2.NA.NA.NA.4",
"2.1.11.2.NA.NA.NA.sub.4.3","2.1.11.2.NA.NA.NA.4",
"2.1.11.2.NA.NA.NA.sub.4.4","2.1.11.2.NA.NA.NA.4",
"2.1.11.3.NA.NA.NA.4","2.1.11.NA.NA.NA.NA.3",
"2.1.11.3.NA.NA.NA.sub.4.1","2.1.11.3.NA.NA.NA.4",
"2.1.11.3.NA.NA.NA.sub.4.2","2.1.11.3.NA.NA.NA.4",
"2.1.11.3.NA.NA.NA.sub.4.3","2.1.11.3.NA.NA.NA.4",
"2.1.11.3.NA.NA.NA.sub.4.4","2.1.11.3.NA.NA.NA.4",
"2.1.11.4.NA.NA.NA.4","2.1.11.NA.NA.NA.NA.3",
"2.1.11.4.1.NA.NA.5","2.1.11.4.NA.NA.NA.4",
"2.1.11.4.1.NA.NA.sub.5.1","2.1.11.4.1.NA.NA.5",
