"name","parent","size"
"2.1.7.5.2.NA.NA.5","2.1.7.5.NA.NA.NA.4",
"2.1.7.5.2.NA.NA.sub.5.2","2.1.7.5.2.NA.NA.5",
"2.1.8.NA.NA.NA.NA.3","2.1.NA.NA.NA.NA.NA.2",
"2.1.8.1.NA.NA.NA.4","2.1.8.NA.NA.NA.NA.3",
"2.1.8.1.4.NA.NA.5","2.1.8.1.NA.NA.NA.4",
"2.1.8.1.4.NA.NA.sub.5.1","2.1.8.1.4.NA.NA.5",
"2.1.8.3.NA.NA.NA.4","2.1.8.NA.NA.NA.NA.3",
"2.1.8.3.3.NA.NA.5","2.1.8.3.NA.NA.NA.4",
"2.1.8.3.3.NA.NA.sub.5.1","2.1.8.3.3.NA.NA.5",
"2.1.8.3.NA.NA.NA.sub.4.1","2.1.8.3.NA.NA.NA.4",
"2.2.NA.NA.NA.NA.NA.2","2.NA.NA.NA.NA.NA.NA.1",
"2.2.13.NA.NA.NA.NA.3","2.2.NA.NA.NA.NA.NA.2",
"2.2.13.3.NA.NA.NA.4","2.2.13.NA.NA.NA.NA.3",
"2.2.16.NA.NA.NA.NA.3","2.2.NA.NA.NA.NA.NA.2",
"2.2.18.NA.NA.NA.NA.3","2.2.NA.NA.NA.NA.NA.2",
"2.2.18.1.NA.NA.NA.4","2.2.18.NA.NA.NA.NA.3",
"2.2.18.1.1.NA.NA.5","2.2.18.1.NA.NA.NA.4",
"2.2.18.2.NA.NA.NA.4","2.2.18.NA.NA.NA.NA.3",
"2.2.18.2.3.NA.NA.5","2.2.18.2.NA.NA.NA.4",
"2.2.18.2.3.7.NA.6","2.2.18.2.3.NA.NA.5",
"2.2.18.2.3.7.NA.sub.6.1","2.2.18.2.3.7.NA.6",
"2.2.3.NA.NA.NA.NA.3","2.2.NA.NA.NA.NA.NA.2",
"2.2.3.2.NA.NA.NA.4","2.2.3.NA.NA.NA.NA.3",
"2.2.3.2.6.NA.NA.5","2.2.3.2.NA.NA.NA.4",
"2.2.3.2.6.3.NA.7","2.2.3.2.6.NA.NA.5",
"2.2.3.2.6.3.NA.sub.7.1","2.2.3.2.6.3.NA.7",
"2.2.3.NA.NA.NA.NA.4","2.2.NA.NA.NA.NA.NA.2",
"2.2.3.NA.NA.NA.NA.sub.4.1","2.2.3.NA.NA.NA.NA.4",
"2.2.4.NA.NA.NA.NA.3","2.2.NA.NA.NA.NA.NA.2",
"2.2.4.1.NA.NA.NA.5","2.2.4.NA.NA.NA.NA.3",
"2.2.5.NA.NA.NA.NA.4","2.2.NA.NA.NA.NA.NA.2",
"2.2.6.NA.NA.NA.NA.3","2.2.NA.NA.NA.NA.NA.2",
"2.2.6.1.NA.NA.NA.4","2.2.6.NA.NA.NA.NA.3",
"2.2.6.1.3.NA.NA.6","2.2.6.1.NA.NA.NA.4",
"2.2.6.1.3.NA.NA.sub.6.1","2.2.6.1.3.NA.NA.6",
"2.2.6.1.3.NA.NA.sub.6.2","2.2.6.1.3.NA.NA.6",
"2.2.6.1.NA.NA.NA.5","2.2.6.NA.NA.NA.NA.3",
"2.2.6.1.NA.NA.NA.sub.5.1","2.2.6.1.NA.NA.NA.5",
"2.2.6.2.NA.NA.NA.4","2.2.6.NA.NA.NA.NA.3",
"2.2.6.2.1.NA.NA.6","2.2.6.2.NA.NA.NA.4",
"2.2.6.4.NA.NA.NA.5","2.2.6.NA.NA.NA.NA.3",
"2.2.6.5.NA.NA.NA.5","2.2.6.NA.NA.NA.NA.3",
"2.2.7.NA.NA.NA.NA.3","2.2.NA.NA.NA.NA.NA.2",
"2.2.7.1.NA.NA.NA.5","2.2.7.NA.NA.NA.NA.3",
