"name","parent"
"3.1.1.3.6.NA.NA.5","3.1.1.3.NA.NA.NA.4"
"3.1.1.3.6.NA.NA.sub.5.1","3.1.1.3.6.NA.NA.5"
"3.1.1.3.6.NA.NA.sub.5.2","3.1.1.3.6.NA.NA.5"
"3.1.1.3.7.NA.NA.5","3.1.1.3.NA.NA.NA.4"
"3.1.1.3.7.NA.NA.sub.5.1","3.1.1.3.7.NA.NA.5"
"3.1.1.3.8.NA.NA.5","3.1.1.3.NA.NA.NA.4"
"3.1.1.3.8.NA.NA.sub.5.1","3.1.1.3.8.NA.NA.5"
"3.1.1.3.8.NA.NA.sub.5.2","3.1.1.3.8.NA.NA.5"
"3.1.1.3.8.NA.NA.sub.5.3","3.1.1.3.8.NA.NA.5"
"3.1.1.3.9.NA.NA.5","3.1.1.3.NA.NA.NA.4"
"3.1.1.3.9.NA.NA.sub.5.1","3.1.1.3.9.NA.NA.5"
"3.1.1.3.9.NA.NA.sub.5.2","3.1.1.3.9.NA.NA.5"
"3.1.1.3.NA.NA.NA.sub.4.1","3.1.1.3.NA.NA.NA.4"
"3.1.1.3.NA.NA.NA.sub.4.2","3.1.1.3.NA.NA.NA.4"
"3.1.1.4.1.NA.NA.5","3.1.1.4.NA.NA.NA.4"
"3.1.1.4.NA.NA.NA.4","3.1.1.NA.NA.NA.NA.3"
"3.1.1.4.1.NA.NA.sub.5.1","3.1.1.4.1.NA.NA.5"
"3.1.1.4.1.NA.NA.sub.5.2","3.1.1.4.1.NA.NA.5"
"3.1.1.4.1.NA.NA.sub.5.3","3.1.1.4.1.NA.NA.5"
"3.1.1.4.NA.NA.NA.sub.4.1","3.1.1.4.NA.NA.NA.4"
"3.1.1.4.NA.NA.NA.sub.4.2","3.1.1.4.NA.NA.NA.4"
"3.1.1.4.NA.NA.NA.sub.4.3","3.1.1.4.NA.NA.NA.4"
"3.1.1.4.NA.NA.NA.sub.4.4","3.1.1.4.NA.NA.NA.4"
"3.1.1.5.1.1.NA.6","3.1.1.5.1.NA.NA.5"
"3.1.1.5.1.NA.NA.5","3.1.1.5.NA.NA.NA.4"
"3.1.1.5.NA.NA.NA.4","3.1.1.NA.NA.NA.NA.3"
"3.1.1.5.1.1.NA.sub.6.1","3.1.1.5.1.1.NA.6"
"3.1.1.5.1.1.NA.sub.6.2","3.1.1.5.1.1.NA.6"
"3.1.1.5.1.1.NA.sub.6.3","3.1.1.5.1.1.NA.6"
"3.1.1.5.1.2.NA.6","3.1.1.5.1.NA.NA.5"
"3.1.1.5.1.2.NA.sub.6.1","3.1.1.5.1.2.NA.6"
"3.1.1.5.1.2.NA.sub.6.2","3.1.1.5.1.2.NA.6"
"3.1.1.5.1.2.NA.sub.6.3","3.1.1.5.1.2.NA.6"
"3.1.1.5.1.NA.NA.sub.5.1","3.1.1.5.1.NA.NA.5"
"3.1.1.5.1.NA.NA.sub.5.2","3.1.1.5.1.NA.NA.5"
"3.1.1.5.1.NA.NA.sub.5.3","3.1.1.5.1.NA.NA.5"
"3.1.1.5.10.NA.NA.5","3.1.1.5.NA.NA.NA.4"
"3.1.1.5.10.NA.NA.sub.5.1","3.1.1.5.10.NA.NA.5"
"3.1.1.5.10.NA.NA.sub.5.2","3.1.1.5.10.NA.NA.5"
"3.1.1.5.11.1.NA.sub.6.1","3.1.1.5.11.1.NA.6"
